perfil,velocidade_kmh,frequencia_ghz,erro_estimativa,guard_band_sigma,tempo_coerencia_ms,freq_doppler_hz,correlacao_temporal,snr_db,ber,kdr
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,1.0,21.396062992125984,35.625984251968504
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,3.0,16.496850393700786,33.056692913385824
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,5.0,11.711811023622047,27.722047244094487
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,7.0,8.253543307086614,14.319685039370079
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,9.0,5.426771653543307,2.4795275590551182
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,11.0,3.6818897637795276,0.2220472440944882
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,13.0,2.2826771653543307,0.0
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,15.0,1.5456692913385828,0.0
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,17.0,0.937007874015748,0.0
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,19.0,0.6181102362204725,0.0
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,21.0,0.40078740157480314,0.0
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,23.0,0.2574803149606299,0.0
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,25.0,0.18110236220472442,0.0
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,-5.0,35.77007874015748,42.83149606299212
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,-3.0,30.99527559055118,40.346456692913385
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,-1.0,25.56771653543307,37.61889763779528
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,1.0,20.029133858267716,34.95275590551181
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,3.0,14.853543307086614,32.121259842519684
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,5.0,10.848031496062992,25.336220472440946
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,7.0,7.386614173228346,10.091338582677166
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,9.0,4.9590551181102365,1.437007874015748
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,11.0,3.348031496062992,0.14488188976377953
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,13.0,2.2992125984251968,0.0
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,15.0,1.4881889763779528,0.0
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,17.0,0.9086614173228347,0.0
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,19.0,0.5897637795275591,0.0
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,21.0,0.3968503937007874,0.0
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,23.0,0.22440944881889763,0.0
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,25.0,0.14960629921259844,0.0
